TuningDataset,Fold,Partition,Phenotype,Pearson_Coefficient,alpha,L1_ratio
Govaere,Fold1,Train,Fibrosis,0.8836903632323522,1.0,0.05
Govaere,Fold1,Train,NAS,0.9139721577596049,1.0,0.05
Govaere,Fold1,Train,Combined,0.8988312604959778,1.0,0.05
Govaere,Fold1,Validation,Fibrosis,0.8154810250071,1.0,0.05
Govaere,Fold1,Validation,NAS,0.6849531389207997,1.0,0.05
Govaere,Fold1,Validation,Combined,0.7502170819639498,1.0,0.05
Govaere,Fold1,Hoang,Fibrosis,0.618844911138951,1.0,0.05
Govaere,Fold1,Hoang,NAS,0.7071894841464794,1.0,0.05
Govaere,Fold1,Hoang,Combined,0.6630171976427155,1.0,0.05
Govaere,Fold1,Pantano,Fibrosis,0.6540188874611941,1.0,0.05
Govaere,Fold1,Pantano,NAS,0.6290927503840615,1.0,0.05
Govaere,Fold1,Pantano,Combined,0.6415558189226277,1.0,0.05
Govaere,Fold1,Shuffled,Fibrosis,-0.14426822972501957,1.0,0.05
Govaere,Fold1,Shuffled,NAS,-0.1021961925963256,1.0,0.05
Govaere,Fold1,Shuffled,Combined,-0.12323221116067265,1.0,0.05
Govaere,Fold2,Train,Fibrosis,0.873298164644783,1.0,0.05
Govaere,Fold2,Train,NAS,0.916287233624604,1.0,0.05
Govaere,Fold2,Train,Combined,0.8947926991346935,1.0,0.05
Govaere,Fold2,Validation,Fibrosis,0.8386744431996812,1.0,0.05
Govaere,Fold2,Validation,NAS,0.8451743252612731,1.0,0.05
Govaere,Fold2,Validation,Combined,0.8419243842304773,1.0,0.05
Govaere,Fold2,Hoang,Fibrosis,0.5893199552352082,1.0,0.05
Govaere,Fold2,Hoang,NAS,0.7277520268364915,1.0,0.05
Govaere,Fold2,Hoang,Combined,0.6585359910358497,1.0,0.05
Govaere,Fold2,Pantano,Fibrosis,0.6334564661626454,1.0,0.05
Govaere,Fold2,Pantano,NAS,0.6285766541341362,1.0,0.05
Govaere,Fold2,Pantano,Combined,0.631016560148391,1.0,0.05
Govaere,Fold2,Shuffled,Fibrosis,-0.10771055098853732,1.0,0.05
Govaere,Fold2,Shuffled,NAS,-0.028051313035695177,1.0,0.05
Govaere,Fold2,Shuffled,Combined,-0.06788093201211624,1.0,0.05
Govaere,Fold3,Train,Fibrosis,0.8795518687390738,1.0,0.05
Govaere,Fold3,Train,NAS,0.9159895711667161,1.0,0.05
Govaere,Fold3,Train,Combined,0.8977707199528954,1.0,0.05
Govaere,Fold3,Validation,Fibrosis,0.706757825114544,1.0,0.05
Govaere,Fold3,Validation,NAS,0.7368832301138697,1.0,0.05
Govaere,Fold3,Validation,Combined,0.7218205276142068,1.0,0.05
Govaere,Fold3,Hoang,Fibrosis,0.6235967222633795,1.0,0.05
Govaere,Fold3,Hoang,NAS,0.7041440182099166,1.0,0.05
Govaere,Fold3,Hoang,Combined,0.663870370236648,1.0,0.05
Govaere,Fold3,Pantano,Fibrosis,0.6774272658790692,1.0,0.05
Govaere,Fold3,Pantano,NAS,0.624072989986431,1.0,0.05
Govaere,Fold3,Pantano,Combined,0.6507501279327504,1.0,0.05
Govaere,Fold3,Shuffled,Fibrosis,-0.10706567319549731,1.0,0.05
Govaere,Fold3,Shuffled,NAS,-0.0779372212039755,1.0,0.05
Govaere,Fold3,Shuffled,Combined,-0.09250144719973638,1.0,0.05
Govaere,Fold4,Train,Fibrosis,0.8889595555177114,1.0,0.05
Govaere,Fold4,Train,NAS,0.922015360524274,1.0,0.05
Govaere,Fold4,Train,Combined,0.905487458020993,1.0,0.05
Govaere,Fold4,Validation,Fibrosis,0.7071035996618914,1.0,0.05
Govaere,Fold4,Validation,NAS,0.5909774640353862,1.0,0.05
Govaere,Fold4,Validation,Combined,0.6490405318486387,1.0,0.05
Govaere,Fold4,Hoang,Fibrosis,0.6073097939914407,1.0,0.05
Govaere,Fold4,Hoang,NAS,0.7183655223284627,1.0,0.05
Govaere,Fold4,Hoang,Combined,0.6628376581599515,1.0,0.05
Govaere,Fold4,Pantano,Fibrosis,0.6516879719424691,1.0,0.05
Govaere,Fold4,Pantano,NAS,0.5843982084611723,1.0,0.05
Govaere,Fold4,Pantano,Combined,0.6180430902018206,1.0,0.05
Govaere,Fold4,Shuffled,Fibrosis,-0.08672062305874761,1.0,0.05
Govaere,Fold4,Shuffled,NAS,-0.06425106220198282,1.0,0.05
Govaere,Fold4,Shuffled,Combined,-0.07548584263036523,1.0,0.05
Govaere,Fold5,Train,Fibrosis,0.8893024547899501,1.0,0.05
Govaere,Fold5,Train,NAS,0.9206451641847686,1.0,0.05
Govaere,Fold5,Train,Combined,0.9049738094873593,1.0,0.05
Govaere,Fold5,Validation,Fibrosis,0.5860505583591814,1.0,0.05
Govaere,Fold5,Validation,NAS,0.4997867446006656,1.0,0.05
Govaere,Fold5,Validation,Combined,0.5429186514799236,1.0,0.05
Govaere,Fold5,Hoang,Fibrosis,0.6047674747905647,1.0,0.05
Govaere,Fold5,Hoang,NAS,0.7247202645476944,1.0,0.05
Govaere,Fold5,Hoang,Combined,0.6647438696691295,1.0,0.05
Govaere,Fold5,Pantano,Fibrosis,0.6709675831105757,1.0,0.05
Govaere,Fold5,Pantano,NAS,0.5788445076093052,1.0,0.05
Govaere,Fold5,Pantano,Combined,0.6249060453599402,1.0,0.05
Govaere,Fold5,Shuffled,Fibrosis,-0.08102121540150539,1.0,0.05
Govaere,Fold5,Shuffled,NAS,-0.11738259728702709,1.0,0.05
Govaere,Fold5,Shuffled,Combined,-0.09920190634426623,1.0,0.05
Govaere,Fold6,Train,Fibrosis,0.8776640513954604,1.0,0.05
Govaere,Fold6,Train,NAS,0.914272697397068,1.0,0.05
Govaere,Fold6,Train,Combined,0.8959683743962645,1.0,0.05
Govaere,Fold6,Validation,Fibrosis,0.7321688997715791,1.0,0.05
Govaere,Fold6,Validation,NAS,0.8476015115570041,1.0,0.05
Govaere,Fold6,Validation,Combined,0.7898852056642915,1.0,0.05
Govaere,Fold6,Hoang,Fibrosis,0.6159427035070146,1.0,0.05
Govaere,Fold6,Hoang,NAS,0.7012880360608603,1.0,0.05
Govaere,Fold6,Hoang,Combined,0.6586153697839374,1.0,0.05
Govaere,Fold6,Pantano,Fibrosis,0.6511577894918997,1.0,0.05
Govaere,Fold6,Pantano,NAS,0.6090806371680937,1.0,0.05
Govaere,Fold6,Pantano,Combined,0.6301192133299964,1.0,0.05
Govaere,Fold6,Shuffled,Fibrosis,-0.07178135691533324,1.0,0.05
Govaere,Fold6,Shuffled,NAS,-0.05732503850139381,1.0,0.05
Govaere,Fold6,Shuffled,Combined,-0.06455319770836353,1.0,0.05
Govaere,Fold7,Train,Fibrosis,0.8762278358549281,1.0,0.05
Govaere,Fold7,Train,NAS,0.918689099526093,1.0,0.05
Govaere,Fold7,Train,Combined,0.8974584676905111,1.0,0.05
Govaere,Fold7,Validation,Fibrosis,0.7832932849614178,1.0,0.05
Govaere,Fold7,Validation,NAS,0.5463186746025157,1.0,0.05
Govaere,Fold7,Validation,Combined,0.6648059797819669,1.0,0.05
Govaere,Fold7,Hoang,Fibrosis,0.6102192030728123,1.0,0.05
Govaere,Fold7,Hoang,NAS,0.7126098984146673,1.0,0.05
Govaere,Fold7,Hoang,Combined,0.6614145507437398,1.0,0.05
Govaere,Fold7,Pantano,Fibrosis,0.622622682566798,1.0,0.05
Govaere,Fold7,Pantano,NAS,0.6390199298201686,1.0,0.05
Govaere,Fold7,Pantano,Combined,0.6308213061934831,1.0,0.05
