,Fibrosis stage,NAS
NAFT18012_P1A1_D14_49_S18,-0.12803480772078166,-1.887882033502948
NAFT18012_P1A2_D14_50_S21,2.883795060143882,2.2961414894877055
NAFT18012_P1A3_D14_51_S1,1.5641438682783073,0.0001762116656520675
NAFT18012_P1A4_D14_52_S4,2.535660525859864,2.0369264177354807
NAFT18012_P1A5_D14_53_S7,2.2713456542141306,2.535803744258116
NAFT18012_P1A6_D14_54_S10,1.9682081929491249,0.594465666584712
NAFT18013_P1A2_D14_02_S3,0.6696666711004805,-1.8445912763246124
NAFT18013_P1A3_D14_03_S6,2.5062681645809777,-0.19059646063789407
NAFT18013_P1A4_D14_04_S9,2.2484697537809626,1.9467810204009897
NAFT18013_P1A5_D14_05_S12,0.31581043637548273,1.0532518563973683
NAFT18013_P1A6_D14_06_S15,1.8300836712183124,-2.393818596601705
NAFT18014_P1A1_D14_85_S13,-1.6265795621065235,-5.443421378034146
NAFT18014_P1A2_D14_86_S16,-0.6423567198779555,-2.424980305456375
NAFT18014_P1A3_D14_87_S19,0.07465451283972355,-4.173065768843677
NAFT18014_P1A4_D14_88_S22,-1.1714519479547754,-3.094298521231253
NAFT18014_P1A5_D14_89_S2,-3.1960397962559806,-4.91259064894574
NAFT18014_P1A6_D14_90_S5,-2.3422730755073373,-3.8465144850777735
NAFT18015_P1A1_D14_145_S8,3.069732691356134,1.3944203579574812
NAFT18015_P1A2_D14_146_S11,-1.6125784148621503,-3.059333382283909
NAFT18015_P1A3_D14_147_S14,0.20592397829203024,-1.9640140657404073
NAFT18015_P1A4_D14_148_S17,1.3133726974704392,1.4866929311283428
NAFT18015_P1A5_D14_149_S20,1.037080877941782,-0.30737816613270047
NAFT18015_P1A6_D14_150_S23,-1.6252394007807232,-2.1979694391378923
NAFT18012_P1B3_D14_57_S10,0.8755044009494602,0.7282296002952808
NAFT18012_P2A1_D14_61_S13,4.735416811932119,3.9386197879692197
NAFT18012_P2A5_D14_65_S16,5.087910729128624,4.718491250212601
NAFT18012_P2B3_D14_69_S19,-1.789347547103565,-2.3189534779715806
NAFT18012_P3A1_D14_73_S22,4.179936078086133,4.594097398155357
NAFT18012_P3A5_D14_77_S2,4.693453515977946,4.912007213337955
NAFT18012_P3B3_D14_81_S5,-3.0565482235904597,-0.7951191280840801
NAFT18013_P1B1_D14_07_S1,1.8587398474212697,-1.141556889472797
NAFT18013_P1B5_D14_11_S3,1.6754222001361598,-3.8478638098345397
NAFT18013_P2A3_D14_15_S6,3.748378836908738,0.48954262805073245
NAFT18013_P2B1_D14_19_S9,5.832901392558499,3.252456823678489
NAFT18013_P2B5_D14_23_S12,5.437940453218983,4.634796729602359
NAFT18013_P3A3_D14_27_S15,-3.894492875116924,-2.41751022991347
NAFT18013_P3B1_D14_31_S18,-4.507878810447444,-3.080805646583653
NAFT18013_P3B5_D14_35_S21,-5.378679684481674,-4.903069816325353
NAFT18013_P4B1_D14_43_S4,2.427280725007508,4.5373615484137115
NAFT18013_P4B5_D14_47_S7,2.0405149357818755,1.649751452169168
NAFT18014_P1B1_D14_91_S8,-0.33760569644410726,-3.5232827175913886
NAFT18014_P1B5_D14_95_S11,-1.1864906180530659,-4.440878189503433
NAFT18014_P2A3_D14_99_S14,5.037871254370949,1.5951202661195576
NAFT18014_P2B1_D14_103_S17,0.3352117126058376,-5.439163409266779
NAFT18014_P2B5_D14_107_S20,-1.992212439734539,-5.905425589217544
NAFT18014_P3A3_D14_111_S23,-3.959839332387565,-3.5646033662245293
NAFT18012_P1B4_D14_58_S11,3.6260144745325666,2.3366855560688236
NAFT18012_P2A2_D14_62_S14,2.5998355034375225,1.7644130501767845
NAFT18012_P2A6_D14_66_S17,4.863708850396987,2.9747800382707617
NAFT18012_P2B4_D14_70_S20,-0.7800791246851269,-2.1127404957413725
NAFT18012_P3A2_D14_74_S23,4.309251735378906,4.379347212661058
NAFT18012_P3A6_D14_78_S3,4.727183664611256,4.342768431623506
NAFT18012_P3B4_D14_82_S6,-4.008078185689358,-2.9223320584819805
NAFT18013_P1B2_D14_08_S1,4.782190790039791,1.4649116541976095
NAFT18013_P1B6_D14_12_S4,-0.2924903675953313,-1.0862369479517577
