"",X,sampleName,condition,treatment,batch,NPC,Background,Number_of_cues,Combination_name,TGF,LPS,Cholesterol,Fructose,Background,NPC
NAFT18012_P1A1_D14_49_S18,NAFT18012_P1A1_D14_49_S18,NAFT18012_P1A1_D14_49_S18,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18012_P1A2_D14_50_S21,NAFT18012_P1A2_D14_50_S21,NAFT18012_P1A2_D14_50_S21,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18012_P1A3_D14_51_S1,NAFT18012_P1A3_D14_51_S1,NAFT18012_P1A3_D14_51_S1,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18012_P1A4_D14_52_S4,NAFT18012_P1A4_D14_52_S4,NAFT18012_P1A4_D14_52_S4,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18012_P1A5_D14_53_S7,NAFT18012_P1A5_D14_53_S7,NAFT18012_P1A5_D14_53_S7,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18012_P1A6_D14_54_S10,NAFT18012_P1A6_D14_54_S10,NAFT18012_P1A6_D14_54_S10,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18013_P1A2_D14_02_S3,NAFT18013_P1A2_D14_02_S3,NAFT18013_P1A2_D14_02_S3,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18013_P1A3_D14_03_S6,NAFT18013_P1A3_D14_03_S6,NAFT18013_P1A3_D14_03_S6,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18013_P1A4_D14_04_S9,NAFT18013_P1A4_D14_04_S9,NAFT18013_P1A4_D14_04_S9,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18013_P1A5_D14_05_S12,NAFT18013_P1A5_D14_05_S12,NAFT18013_P1A5_D14_05_S12,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18013_P1A6_D14_06_S15,NAFT18013_P1A6_D14_06_S15,NAFT18013_P1A6_D14_06_S15,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18014_P1A1_D14_85_S13,NAFT18014_P1A1_D14_85_S13,NAFT18014_P1A1_D14_85_S13,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18014_P1A2_D14_86_S16,NAFT18014_P1A2_D14_86_S16,NAFT18014_P1A2_D14_86_S16,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18014_P1A3_D14_87_S19,NAFT18014_P1A3_D14_87_S19,NAFT18014_P1A3_D14_87_S19,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18014_P1A4_D14_88_S22,NAFT18014_P1A4_D14_88_S22,NAFT18014_P1A4_D14_88_S22,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18014_P1A5_D14_89_S2,NAFT18014_P1A5_D14_89_S2,NAFT18014_P1A5_D14_89_S2,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18014_P1A6_D14_90_S5,NAFT18014_P1A6_D14_90_S5,NAFT18014_P1A6_D14_90_S5,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
NAFT18015_P1A1_D14_145_S8,NAFT18015_P1A1_D14_145_S8,NAFT18015_P1A1_D14_145_S8,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18015_P1A2_D14_146_S11,NAFT18015_P1A2_D14_146_S11,NAFT18015_P1A2_D14_146_S11,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18015_P1A3_D14_147_S14,NAFT18015_P1A3_D14_147_S14,NAFT18015_P1A3_D14_147_S14,Lean_control,Lean,batch1,high,lean,0,Control,FALSE,FALSE,FALSE,FALSE,lean,high
NAFT18015_P1A4_D14_148_S17,NAFT18015_P1A4_D14_148_S17,NAFT18015_P1A4_D14_148_S17,Fat_control,Fat,batch1,high,fat,0,Control,FALSE,FALSE,FALSE,FALSE,fat,high
