statistic,source,condition,score,p_value
viper,Fibrosis stage,V1,-1.278670242709155,0.20101320280886392
viper,Fibrosis stage,V2,-1.7675450763635243,0.07713698692697735
viper,Fibrosis stage,V3,-0.9165353492280258,0.3593861757522316
viper,Fibrosis stage,V4,-1.506474503233135,0.13194540759559995
viper,Fibrosis stage,V5,-1.4445199520649172,0.1485927714957631
viper,Fibrosis stage,V6,-0.9303374724909735,0.35219638178449747
viper,Fibrosis stage,V7,0.18215234475222092,0.8554631706232254
viper,Fibrosis stage,V8,-2.235912148238589,0.025357526392388963
viper,Fibrosis stage,V9,-0.9965559879786123,0.3189800780930796
viper,Fibrosis stage,V10,-0.35865643730742514,0.7198521209690204
viper,Fibrosis stage,V11,-1.557227708886871,0.11941643188098779
viper,Fibrosis stage,V12,1.6856296788337053,0.09186714908279961
viper,Fibrosis stage,V13,1.1857708798416886,0.23571279438679105
viper,Fibrosis stage,V14,-0.03536479682302226,0.9717888552082048
viper,Fibrosis stage,V15,2.50667157243507,0.012187389369730796
viper,Fibrosis stage,V16,2.1380933005257856,0.032509171572139756
viper,Fibrosis stage,V17,1.5204768941208706,0.1283911616200248
viper,Fibrosis stage,V18,-1.5966192854355707,0.11035059737325238
viper,Fibrosis stage,V19,1.072554374231274,0.28347110520146374
viper,Fibrosis stage,V20,0.3959740856678695,0.6921241456805366
viper,Fibrosis stage,V21,-0.981602579873292,0.32629567601834986
viper,Fibrosis stage,V22,-0.2830903477104197,0.7771075805006601
viper,Fibrosis stage,V23,1.4940098613062232,0.13517304182307255
viper,Fibrosis stage,V24,-0.5776001775146017,0.5635340870706147
viper,Fibrosis stage,V25,-2.342381886923502,0.019161097777271083
viper,Fibrosis stage,V26,-1.2748389217777496,0.2023662612412584
viper,Fibrosis stage,V27,1.1139321350829194,0.2653083020646618
viper,Fibrosis stage,V28,-1.281295825128109,0.20008977874346778
viper,Fibrosis stage,V29,-0.8470234510600173,0.39698205026725986
viper,Fibrosis stage,V30,1.6442690884194966,0.1001206314878788
viper,Fibrosis stage,V31,-0.815976893471439,0.4145133514096828
viper,Fibrosis stage,V32,-2.292595859418238,0.021871282989796414
viper,Fibrosis stage,V33,-1.84619347571401,0.06486411794781466
viper,Fibrosis stage,V34,-3.1043011122083106,0.0019072911193549027
viper,Fibrosis stage,V35,-2.213515274061387,0.0268621413804079
viper,Fibrosis stage,V36,2.010979104584324,0.04432766386051651
viper,Fibrosis stage,V37,2.8027942679962714,0.005066197530884856
viper,Fibrosis stage,V38,2.8574341017523563,0.004270813051458165
viper,Fibrosis stage,V39,-0.38632281353920084,0.6992576067396838
viper,Fibrosis stage,V40,0.48548275812462705,0.6273339403268551
viper,Fibrosis stage,V41,0.14175949592871395,0.8872699784536299
viper,Fibrosis stage,V42,0.3608368924491015,0.7182213819808693
viper,Fibrosis stage,V43,-2.490711078417768,0.012748774375221532
viper,Fibrosis stage,V44,0.11404292177352938,0.9092037687204961
viper,Fibrosis stage,V45,1.276595764453873,0.20174499799366963
viper,Fibrosis stage,V46,1.4379339666573345,0.15045279102663672
viper,Fibrosis stage,V47,-2.040899602070492,0.04126080738677641
viper,Fibrosis stage,V48,-0.5210373362806738,0.6023407623350262
